Theme,Company Name,Description,Type,Location
Sal de Ibiza,Salt Breeze Café,Coastal café featuring gourmet salts and tapas.,Café,"Ibiza, Spain"
Sal de Ibiza,Turquoise Tide Boutique,High-end swimwear and boho chic accessories.,Boutique,"Ibiza, Spain"
Sal de Ibiza,Casa Sal Hotel,Elegant boutique hotel with salt spa therapies.,Hotel,"Formentera, Spain"
Sunset Field,Harvest Moon Café,Farm-to-table café in sunset hues.,Café,"Sonoma, California"
Sunset Field,Amber Grove Boutique,Nature-inspired clothing and artisanal goods.,Boutique,"Tuscany, Italy"
Sunset Field,Golden Horizon Inn,Boutique countryside hotel surrounded by fields.,Hotel,"Provence, France"
Jungle,Wild Roots Café,Lush jungle-themed café with exotic fruits and coffees.,Café,Costa Rica
Jungle,Verdant Boutique,Clothing and home décor made with natural fibers.,Boutique,"Ubud, Bali"
Jungle,Canopy Lodge,Jungle eco-hotel offering canopy walks and yoga retreats.,Hotel,Belize
Sun-kissed Coral,Coral Bay Café,Tropical café with fresh juices and seafood.,Café,"Key Largo, Florida"
Sun-kissed Coral,Sunstone Boutique,Bohemian resort wear in coral hues.,Boutique,"Maui, Hawaii"
Sun-kissed Coral,Tidekiss Inn,Boutique beachfront hotel with coral-themed rooms.,Hotel,Turks and Caicos
Amber Dusk,Amber Glow Café,Sunset café with local wines and tapas.,Café,"Santa Barbara, California"
Amber Dusk,Sundown Boutique,Sunset-toned fashion and artisan gifts.,Boutique,"Valencia, Spain"
Amber Dusk,Golden Drift Hotel,Chic sunset-view hotel with rooftop bar.,Hotel,"Santorini, Greece"
Blushing Horizon,Rose Sky Café,Dreamy café serving pastries and rose lattes.,Café,"Cape Town, South Africa"
Blushing Horizon,Pink Horizon Boutique,"Light, airy resort wear and linen fashion.",Boutique,"Mykonos, Greece"
Blushing Horizon,Dusky Petals Hotel,Boutique hotel with pink-themed suites and spas.,Hotel,"Corsica, France"
Citrus Bloom,Clementine Café,Bright café with fresh citrus dishes and desserts.,Café,"Amalfi Coast, Italy"
Citrus Bloom,Sunburst Boutique,Vibrant beachwear and colorful prints.,Boutique,"Seville, Spain"
Citrus Bloom,Bloomstay Hotel,Cheerful boutique hotel in a citrus orchard.,Hotel,"Algarve, Portugal"
Mango Salsa,Spicy Mango Café,Tropical café serving mango-infused dishes.,Café,"Playa del Carmen, Mexico"
Mango Salsa,Zest Boutique,Vibrant summer fashion and beach accessories.,Boutique,"Oahu, Hawaii"
Mango Salsa,Casa Mango Hotel,Colorful boutique hotel with salsa nights.,Hotel,"Cartagena, Colombia"
Candy Sunset,Sweet Skies Café,Candy-inspired café with desserts and cocktails.,Café,"Miami, Florida"
Candy Sunset,Pastel Bay Boutique,Soft-toned beach fashion and accessories.,Boutique,"Nice, France"
Candy Sunset,Cotton Candy Inn,Playful boutique hotel in pastel colors.,Hotel,"Venice Beach, California"
Peachy Sands,Peach Grove Café,Laid-back café with peach-inspired drinks and brunches.,Café,"Savannah, Georgia"
Peachy Sands,Sand & Peach Boutique,"Beachwear boutique with peach, sand, and cream tones.",Boutique,"Gold Coast, Australia"
Peachy Sands,Dune Bloom Hotel,Boutique hotel tucked in golden sandy dunes.,Hotel,Namibia Desert
